Tarih;Ömerli;Darlik;Elmali;Terkos;B.çekmece;Sazlidere;Alibey;Kazandere;Pabuçdere
1.01.2011;0;0;0;0;0;0;0;0;0
2.01.2011;0;0;0;0;0;0;0;0;0
3.01.2011;0;0;0;0,42;1,37;0,87;0,2;2,26;1,89
4.01.2011;8,08;10,01;11,64;18,82;9,64;14,72;13,5;8,2;10,37
5.01.2011;2,78;8,48;7,09;3,42;0,83;4,31;4,3;1,44;1,6
6.01.2011;0;0,78;0;0,42;0;0;0,56;1,15;1,11
7.01.2011;0;3,05;0,7;9,11;0;0,64;3,37;1,25;1,6
8.01.2011;0;0;0;0;0;0;0;0;0
9.01.2011;0;0;0;0;0;0;0;0;0
10.01.2011;0;0;0;0;0;0;0;0;0
11.01.2011;0;0;0;0;0;0;0;0;0
12.01.2011;0;0;0;0;0;0;0;0;0
13.01.2011;0;0;0;0;0;0;0;0;0
14.01.2011;0;0;0;0;0;0;0;0;0
15.01.2011;0;0;0;0;0;0;0;0;0
16.01.2011;0;0,67;0,03;2,03;0,16;0;0,21;5;6,24
17.01.2011;4,98;4,82;3,36;15,82;2,32;3,07;6,51;11,82;16,24
18.01.2011;0;0;0;0;0;0;0;0;0
19.01.2011;0;0;0;0;0;0;0;0;0
20.01.2011;0;0;0;0;0;0;0;0;0
21.01.2011;0;0;0;0;0;0;0;0;0
22.01.2011;0,15;0;0,17;0;0,42;0,2;0,21;0,45;0,49
23.01.2011;0,6;0;1,04;3,12;0,77;1,1;0,68;11,92;15,42
24.01.2011;8,28;4,25;9,77;4,91;10,14;9,41;13,2;1,66;1,71
25.01.2011;12,15;14;11,11;18,44;11,31;6,41;6,98;9,69;14,83
26.01.2011;6,35;11;9,31;20,14;7,02;9,48;6,57;5,89;4,25
27.01.2011;0;0;2,68;6,41;5,25;3,92;1,76;0;0
28.01.2011;0;0;0;0;0;0;0;0;0
29.01.2011;0;0;0;0;0;0;0;6,19;11,64
30.01.2011;6,5;6,15;5,82;2,43;1,21;4,09;4,52;1,1;1,34
31.01.2011;0;0;0;0;0;0;0;0;0
1.02.2011;0;0;0;0;0;0;0;0;0
2.02.2011;6,83;2,3;0;0;0;0;0;0,74;0
3.02.2011;0;0;0;0;0;0;0;0;0
4.02.2011;0;0;0;0;0;0;0;0;0
5.02.2011;0;0;0;0;0;0;0;0;0
6.02.2011;0;0;0;0;0;0;0;0;0
7.02.2011;0;0;0;0;0;0;0;0;0
8.02.2011;0;0;0;0;0;0;0;0;0
9.02.2011;0;0;0;0;0;0;0;0;0
10.02.2011;0;0;0;0;0;0;0;0;0
11.02.2011;0;0;0;0;0;0;0;0;0
12.02.2011;0;0;0;0;0;0;0;0;0
13.02.2011;0;0;0;0;0;0;0;0;0
14.02.2011;0;0;0;0;0;0;0;0;0
15.02.2011;0;0;0;0;0;0;0;0,45;1,61
16.02.2011;0;0,07;0,44;0,72;0,13;0,73;0;1,45;0,52
17.02.2011;0;0;0;0;0;0;0;0;0
18.02.2011;0;0;1,22;1,24;1,1;0,79;0,79;0,53;1,8
19.02.2011;0;0;0,83;0,92;0,5;0,3;0,2;3,67;3,92
20.02.2011;2;2,5;2,5;8,32;1;1,94;5,2;27,63;33,17
21.02.2011;2,23;2;0,5;0;0;0,5;0,38;0;0
22.02.2011;0;0;0;0;0;0;0;0;0
23.02.2011;1,5;1,5;3,54;8,1;6,4;5,9;7,3;9,5;9,3
24.02.2011;1;1,5;3,45;17,16;5,31;7,69;10,01;30,85;32,85
25.02.2011;1,04;1,32;1,22;6,31;1,92;3,49;11,04;1,75;1,11
26.02.2011;5,55;1,32;6,5;3,23;5,52;5,17;4,19;3,85;3,85
27.02.2011;3;2,8;2,47;0,52;0,14;1,92;1,74;0,02;0,08
28.02.2011;0;0;0;0,72;0,14;0;0,18;0;0
1.03.2011;0;0,04;8,5;2,93;0,14;0;0,72;0,04;0,41
2.03.2011;0;0;0;0;0;0;0;0;0
3.03.2011;0;0;0;0;0;0;0;0;0
4.03.2011;0;0;0;0;0;0;0;1,04;1,11
5.03.2011;0;0;0;0;0;0;0;0;0
6.03.2011;0;0;0;0;0;0;0;0;0
7.03.2011;3,28;2,48;1,97;0,51;0,15;0,4;4,2;4,88;7,65
